pH,EC,light %,Water level
6.3922316,1.59673498,0.706200463,7.374339031
6.39017642,1.605401332,0.717368894,7.260749294
6.392310536,1.595953094,0.71895654,7.319899982
6.391529123,1.60930915,0.701127564,7.308953815
6.393528075,1.599633306,0.717857413,7.233452393
6.392042274,1.603148793,0.715978672,7.250926506
6.390193899,1.591831299,0.718907211,7.277343572
6.393494323,1.608416063,0.705090924,7.347156603
6.394589297,1.594798665,0.715481825,7.225714355
6.393566298,1.606391144,0.706434437,7.385811712
6.391440802,1.606319425,0.711179198,7.325109451
6.392191152,1.605182477,0.707451601,7.300055062
6.394575866,1.605358606,0.708253326,7.215503111
6.391812132,1.591820408,0.710140667,7.24677585
6.390325624,1.604407068,0.700745002,7.250360835
6.39017218,1.599161809,0.71471272,7.248935078
6.392852713,1.604763512,0.710673745,7.348878902
6.392705423,1.593621622,0.711297106,7.341385172
6.393218189,1.591602959,0.714543029,7.285421396
6.392134839,1.594366714,0.700949134,7.361104655
6.393148318,1.593309009,0.703144764,7.24394613
6.393262901,1.595241074,0.714578064,7.325846929
6.392646791,1.600303784,0.700160635,7.343443632
6.394942067,1.604907143,0.715355378,7.32220038
6.390814806,1.607114227,0.712275278,7.388168019
6.3915455,1.594026079,0.712577726,7.209778214
6.391214859,1.590389243,0.715314358,7.231814144
6.392004128,1.597090103,0.717570404,7.302250844
6.391666457,1.59558028,0.715686745,7.292298858
6.391248478,1.595210177,0.710551616,7.37222815
6.39345015,1.590385284,0.719701557,7.360981265
6.391373846,1.598955628,0.701955407,7.225604728
6.394655692,1.597025261,0.700392207,7.224632092
6.392319602,1.607697948,0.715845106,7.355565844
6.39043856,1.600339069,0.703364278,7.264292961
6.391095571,1.605620238,0.716851957,7.398855708
6.394147821,1.599582635,0.715420596,7.243797256
6.394673845,1.607148366,0.715231512,7.39990115
6.390280011,1.594904632,0.7153153,7.380692082
6.390947852,1.605086819,0.706738893,7.33404769
6.392425843,1.60602554,0.712017855,7.334484159
6.394035674,1.609625462,0.719834433,7.343704792
6.390408013,1.592896465,0.710494212,7.265200917
6.390068445,1.606907435,0.718383296,7.216644005
6.39388963,1.601540191,0.717360957,7.288273586
6.393432282,1.599960774,0.708892427,7.295027324
6.394949968,1.592824187,0.711430396,7.296495369
6.39125395,1.603064459,0.70620315,7.21886563
6.390338083,1.606799707,0.707289668,7.328138197
6.39029657,1.592659189,0.70175475,7.255675791
6.393814514,1.604423308,0.704579437,7.254761381
6.393959823,1.592657083,0.708575374,7.286319753
6.394794666,1.602400944,0.711671357,7.377742952
6.390421545,1.600757554,0.716055374,7.384301867
6.394187434,1.602188922,0.718276482,7.289998539
6.391059527,1.595179894,0.717772789,7.325035728
6.39441892,1.607618962,0.718049208,7.255362377
6.392061641,1.592662494,0.710937344,7.378411581
6.391197533,1.603807116,0.716420518,7.222107433
6.390220423,1.596980242,0.708213913,7.365564239
6.390037454,1.606986212,0.709221094,7.366365897
6.393753776,1.592606798,0.707356695,7.374622352
6.390694817,1.609890096,0.700423421,7.371153451
6.390536657,1.599215031,0.719569125,7.267821592
6.394354637,1.596231807,0.705197197,7.24433396
6.392226166,1.60629239,0.706029418,7.354867325
6.390380703,1.608148528,0.719308579,7.350410049
6.391605839,1.604133316,0.700451628,7.26589499
6.394827029,1.603626453,0.705633913,7.259365745
6.392951832,1.603455217,0.70018313,7.315845606
6.39368106,1.605451475,0.71746939,7.397208606
6.392764908,1.598070567,0.717039874,7.362928187
6.391774648,1.593628564,0.714329762,7.355023628
6.394480212,1.597625422,0.709091022,7.314356377
6.391958277,1.595260667,0.714684012,7.378678276
6.39316781,1.603444978,0.702977259,7.228688774
6.391160615,1.602966991,0.700304264,7.23335073
6.393455657,1.592137805,0.700690091,7.256554756
6.393156944,1.603794746,0.703677667,7.291280853
6.394857971,1.609814617,0.714991065,7.20013538
6.394985849,1.609014424,0.705096088,7.313696076
6.39304745,1.60292786,0.714013902,7.224361414
6.392515474,1.608520766,0.712826322,7.391920711
6.390047783,1.604849045,0.703509445,7.335010746
6.394840193,1.607849777,0.714192424,7.234832037
6.39421806,1.597976484,0.710650609,7.334094101
6.392034779,1.601648278,0.719084001,7.360469023
6.391461873,1.603911,0.706805573,7.215435665
6.394765265,1.594509946,0.707428089,7.206323595
6.393227409,1.592879308,0.711876545,7.332582577
6.392602671,1.603443292,0.713467184,7.222292014
6.39061362,1.607340849,0.712026932,7.237482563
6.394647608,1.604359108,0.709052959,7.234457971
6.392665346,1.594569987,0.713634342,7.330452921
6.39497072,1.592821234,0.711679937,7.334064123
6.391638703,1.59902516,0.718195318,7.348861441
6.391363416,1.592570892,0.703739141,7.200494934
6.390307798,1.596177678,0.704338527,7.350593318
6.391430843,1.590518792,0.711583942,7.263555393
6.391148505,1.595456353,0.703357724,7.273522322
6.391964472,1.609255812,0.703274388,7.328018525
6.392561639,1.59357992,0.715486649,7.203495815
6.390748129,1.602674289,0.705168459,7.381208287
6.391149615,1.607144156,0.708322607,7.321430722
6.391320948,1.592873356,0.712427996,7.207302582
6.39199526,1.602620261,0.719877851,7.386665039
6.390523248,1.597177172,0.710821399,7.337389745
6.393522921,1.605858331,0.719560721,7.213405635
6.39141268,1.605947607,0.70507606,7.215460524
6.391001237,1.605255137,0.702243418,7.298959912
6.393810532,1.595980844,0.714929536,7.280931255
6.391642411,1.607617208,0.705119089,7.329541736
6.3948156,1.594090197,0.719427657,7.326029916
6.390112157,1.600971769,0.714688626,7.260704958
6.392996396,1.603367728,0.717204929,7.321870739
6.393000196,1.604623243,0.710876679,7.38569826
6.394781294,1.592606506,0.710451184,7.274118367
6.391657193,1.609004351,0.71628501,7.296637323
6.393207206,1.603565133,0.71458352,7.374260708
6.390115702,1.598103505,0.702585055,7.258964302
6.391263961,1.599830636,0.709794719,7.269755585
6.39080544,1.606691438,0.705717866,7.250523368
6.391652865,1.593720196,0.710662772,7.285526728
6.391383717,1.604833601,0.707294187,7.362005618
6.394154157,1.591780488,0.709209031,7.21512119
6.390318743,1.593343152,0.702709791,7.258130945
6.394707417,1.601819605,0.701715385,7.290749847
6.391341693,1.595350595,0.704014455,7.324331763
6.392292579,1.604180806,0.714113583,7.328078876
6.393357104,1.596665633,0.702741068,7.225445984
6.390056584,1.596089579,0.705985651,7.35401416
6.393308847,1.59349457,0.71523314,7.348153124
6.39407571,1.603307304,0.703620031,7.234112678
6.390206269,1.591411099,0.712327636,7.290846677
6.394367047,1.599404657,0.710391688,7.28978191
6.391251931,1.602173636,0.704527235,7.343896373
6.391621595,1.605252471,0.710247767,7.278298641
6.394631239,1.60163973,0.712521913,7.341149595
6.393233518,1.597924079,0.719216352,7.279627242
6.393543877,1.591923286,0.712685155,7.212402386
6.392272595,1.609776626,0.714028709,7.280852639
6.394352765,1.603206905,0.712362129,7.313828783
6.392160629,1.601315445,0.716389719,7.291399328
